机构代码		操作员		操作类型		操作日期
051052580		460100    		证书打印  		2012-04-28		
051052580		460100    		IC卡发放  		2012-04-28		
051052580		460100    		变更      		2012-04-28		
06233388X		460100    		证书打印  		2012-04-28		
06233388X		460100    		IC卡发放  		2012-04-28		
06233388X		460100    		变更      		2012-04-28		
06233388X		460100    		证书打印  		2012-04-28		
06233388X		460100    		IC卡发放  		2012-04-28		
06233388X		460100    		变更      		2012-04-28		
06233388X		460100    		证书打印  		2012-04-28		
06233388X		460100    		IC卡发放  		2012-04-28		
06233388X		460100    		变更      		2012-04-28		
06233388X		460100    		证书打印  		2012-04-28		
06233388X		460100    		申请表修改		2012-04-28		
06233388X		460100    		申请表修改		2012-04-28		
06233388X		460100    		IC卡发放  		2012-04-28		
06233388X		460100    		新增      		2012-04-28		
06233388X		460100    		IC卡发放  		2012-04-28		
062333820		460000    		制卡		2013-04-28
062333820		460000    		代码清除  		2013-04-28		
062333871		460100    		新增      		2012-04-28		
062333871		460100    		IC卡发放  		2012-04-28		
062333820		460000    		制卡		2013-04-28
062333820		460000    		代码清除  		2013-04-28		
062333820		460000    		制卡		2013-04-28
062333820		460000    		代码清除  		2013-04-28		
062333820		460000    		IC卡变更		2013-04-28		
062333820		460000    		变更      		2013-04-28		
062333820		460000    		变更      		2013-04-28		
062333820		460000    		年检      		2013-04-28		
062333820		460000    		卡年检		2013-04-28		
062333820		460000    		年检      		2013-04-28		
062333820		460000    		卡年检		2013-04-28		
062333820		460000    		年检      		2013-04-28		
062333820		460000    		制卡		2013-04-28
062333820		460000    		年检      		2013-04-28		
062333820		460000    		制卡		2013-04-28
062333767		460000    		变更      		2013-04-28		
062333767		460000    		变更      		2013-04-28		
901244512		460000    		IC卡发放  		2013-04-28		
901244512		460000    		变更      		2013-04-28		
062332641		460000    		变更      		2013-04-28		
062333820		460000    		卡年检		2013-04-28		
062333820		460000    		年检      		2013-04-28		
062333820		460000    		制卡		2013-04-28
062332641		460000    		变更      		2013-04-28		
062333820		460000    		年检      		2013-04-28		
051075918		460100    		废置      		2012-04-27		
051075918		460100    		变更      		2012-04-27		
062333783		460100    		代码迁出		2012-04-27		
062333783		460100    		IC卡废置  		2012-04-27		
062333783		460100    		证书打印  		2012-04-27		
062333783		460100    		新增      		2012-04-27		
062333783		460100    		IC卡发放  		2012-04-27		
051071175		460100    		证书打印  		2012-04-27		
051071175		460100    		IC卡发放  		2012-04-27		
051071175		460100    		变更      		2012-04-27		
051066683		460100    		证书打印  		2012-04-27		
051066683		460100    		变更      		2012-04-27		
051057074		460100    		证书打印  		2012-04-27		
051057074		460100    		变更      		2012-04-27		
051075918		460100    		证书打印  		2012-04-27		
051075918		460100    		变更      		2012-04-27		
062332641		460000    		证书打印  		2012-04-27		
062332641		460000    		废置恢复  		2012-04-27		
062332641		460000    		IC卡废置  		2012-04-27		
062332641		460000    		废置      		2012-04-27		
062333599		460100    		证书打印  		2012-04-27		
284091142		460100    		证书打印  		2012-04-27		
68118887X		460100    		证书打印  		2012-04-27		
68118887X		460100    		代码迁入		2012-04-27		
68118887X		460100    		IC卡发放  		2012-04-27		
68118887X		460000    		代码迁出		2012-04-27		
68118887X		460000    		证书打印  		2012-04-27		
68118887X		460000    		代码迁入		2012-04-27		
68118887X		460000    		IC卡发放  		2012-04-27		
68118887X		460100    		代码迁出		2012-04-27		
X82454689		460000    		证书打印  		2012-04-27		
X82454689		460000    		代码迁入		2012-04-27		
X82454689		460000    		IC卡发放  		2012-04-27		
284091142		460100    		证书打印  		2012-04-27		
284091142		460100    		代码迁入		2012-04-27		
284091142		460100    		IC卡发放  		2012-04-27		
284091142		460100    		IC卡发放  		2012-04-27		
284091142		460000    		代码迁出		2012-04-27		
284091142		460000    		迁址恢复  		2012-04-27		
284091142		460000    		代码迁出		2012-04-27		
062333345		460000    		申请表修改		2012-04-27		
YC2013009		460000    		新增      		2012-04-27		
YC2013009		460000    		IC卡发放  		2012-04-27		
062332633		460000    		废置恢复  		2012-04-27		
062332633		460000    		IC卡废置  		2012-04-27		
062332633		460000    		废置      		2012-04-27		
062333783		460000    		预赋码删除		2012-04-27		
062333839		460000    		证书打印  		2012-04-27		
062333839		460000    		废置恢复  		2012-04-27		
062332190		460000    		证书打印  		2012-04-27		
062332190		460000    		IC卡发放  		2012-04-27		
062332190		460000    		IC卡发放  		2012-04-27		
062332190		460000    		IC卡发放  		2012-04-27		
062332190		460000    		变更      		2012-04-27		
062332190		460000    		证书打印  		2012-04-27		
062332190		460000    		换证      		2012-04-27		
062332190		460000    		IC卡发放  		2012-04-27		
062332190		460000    		IC卡发放  		2012-04-27		
062332190		460000    		IC卡发放  		2012-04-27		
062332190		460000    		IC卡废置  		2012-04-27		
X82454654		460000    		IC卡发放  		2012-04-27		
X82454654		460000    		迁址恢复  		2012-04-27		
X82454654		460000    		代码迁出		2012-04-27		
X82454654		460000    		卡年检		2012-04-27		
X82454654		460000    		年检      		2012-04-27		
X82454654		460000    		卡年检		2012-04-27		
X82454654		460000    		制卡		2012-04-27
X82454654		460000    		证书打印  		2012-04-27		
X82454654		460000    		代码迁入		2012-04-27		
X82454654		460000    		IC卡发放  		2012-04-27		
062333804		460000    		证书打印  		2012-04-27		
062332190		460000    		变更      		2012-04-27		
062331219		460000    		IC卡发放  		2012-04-27		
062331219		460000    		变更      		2012-04-27		
062333855		460000    		代码迁出		2012-04-27		
062333855		460000    		IC卡废置  		2012-04-27		
062333855		460000    		证书打印  		2012-04-27		
062333855		460000    		证书挂失  		2012-04-27		
062333855		460000    		预约挂失  		2012-04-27		
062333855		460000    		预约挂失  		2012-04-27		
062333855		460000    		预约挂失  		2012-04-27		
062333855		460000    		证书打印  		2012-04-27		
062333855		460000    		证书挂失  		2012-04-27		
062333855		460000    		预约挂失  		2012-04-27		
062333855		460000    		证书打印  		2012-04-27		
062333855		460000    		证书挂失  		2012-04-27		
062333855		460000    		预约挂失  		2012-04-27		
062333855		460000    		证书打印  		2012-04-27		
062333855		460000    		证书挂失  		2012-04-27		
062333855		460000    		预约挂失  		2012-04-27		
062333855		460000    		证书打印  		2012-04-27		
062333855		460000    		证书打印  		2012-04-27		
062333855		460000    		新增      		2012-04-27		
062333855		460000    		IC卡发放  		2012-04-27		
062333847		460000    		IC卡发放  		2012-04-27		
062333847		460000    		迁址恢复  		2012-04-27		
062333847		460000    		代码迁出		2012-04-27		
062333847		460000    		IC卡废置  		2012-04-27		
062333847		460000    		卡年检		2012-04-27		
062333847		460000    		年检      		2012-04-27		
062333847		460000    		卡年检		2012-04-27		
062333847		460000    		年检      		2012-04-27		
062333847		460000    		制卡		2012-04-27
062333847		460000    		证书打印  		2012-04-27		
062333847		460000    		新增      		2012-04-27		
062333847		460000    		IC卡发放  		2012-04-27		
G51222144		460000    		代码清除  		2012-04-27		
062333839		460000    		废置      		2012-04-27		
062333820		460000    		年检      		2012-04-27		
062331219		460000    		年检      		2012-04-27		
062333820		460000    		IC卡废置  		2012-04-27		
062333820		460000    		IC卡废置  		2012-04-27		
062333820		460000    		代码清除  		2012-04-27		
062333820		460000    		卡年检		2012-04-27		
671053912		460000    		取消预约挂失		2012-04-27		
671053912		460000    		取消预约挂失		2012-04-27		
671053912		460000    		预约挂失  		2012-04-27		
671053912		460000    		预约挂失  		2012-04-27		
062333820		460000    		卡年检		2012-04-27		
062333820		460000    		代码清除  		2012-04-27		
062333820		460000    		代码清除  		2012-04-27		
062333820		460000    		制卡		2012-04-27
062333820		460000    		制卡		2012-04-27
062333839		460000    		证书打印  		2012-04-27		
062333839		460000    		新增      		2012-04-27		
062333820		460000    		证书打印  		2012-04-27		
062333820		460000    		新增      		2012-04-27		
062333820		460000    		IC卡发放  		2012-04-27		
062333820		460000    		IC卡发放  		2012-04-27		
062333812		460000    		证书打印  		2012-04-27		
062333812		460000    		IC卡发放  		2012-04-27		
062333812		460000    		变更      		2012-04-27		
062333812		460000    		代码清除  		2012-04-27		
062333812		460000    		取消预约挂失		2012-04-27		
062333812		460000    		代码清除  		2012-04-27		
062333812		460000    		代码清除  		2012-04-27		
062333812		460000    		代码清除  		2012-04-27		
062333812		460000    		卡年检		2012-04-27		
062333812		460000    		IC卡变更		2012-04-27		
062333812		460000    		卡年检		2012-04-27		
062333812		460000    		制卡		2012-04-27
062333812		460000    		证书打印  		2012-04-27		
062333812		460000    		新增      		2012-04-27		
062333812		460000    		IC卡发放  		2012-04-27		
062331219		460000    		变更      		2012-04-27		
062331219		460000    		证书打印  		2012-04-27		
062331219		460000    		变更      		2012-04-27		
062332641		460000    		IC卡变更		2012-04-27		
062332641		460000    		变更      		2012-04-27		
062332641		460000    		变更      		2012-04-27		
062332641		460000    		变更      		2012-04-27		
062332641		460000    		变更      		2012-04-27		
062332641		460000    		变更      		2012-04-27		
062331219		460000    		IC卡废置  		2012-04-26		
062331219		460000    		IC卡变更		2012-04-26		
062331219		460000    		卡年检		2012-04-26		
062331219		460000    		IC卡变更		2012-04-26		
062331219		460000    		IC卡变更		2012-04-26		
062331219		460000    		变更      		2012-04-26		
062333767		460000    		IC卡变更		2012-04-26		
062333767		460000    		变更      		2012-04-26		
062333767		460000    		制卡		2012-04-26
74776958X		460000    		证书打印  		2012-04-26		
74776958X		460000    		证书打印  		2012-04-26		
062331219		460000    		IC卡变更		2013-04-26		
062331219		460000    		变更      		2012-04-26		
062333791		460000    		证书打印  		2012-04-26		
062333791		460000    		证书打印  		2012-04-26		
062333804		460000    		新增      		2013-04-26		
062333804		460000    		IC卡发放  		2013-04-26		
062333791		460000    		证书打印  		2012-04-26		
062333791		460000    		新增      		2012-04-26		
713866613		460000    		证书打印  		2012-04-26		
713866613		460000    		证书打印  		2012-04-26		
062333767		460000    		证书打印  		2012-04-26		
062333767		460000    		证书打印  		2012-04-26		
062333767		460000    		证书打印  		2012-04-26		
062333767		460000    		证书打印  		2012-04-26		
05109545X		460000    		废置      		2012-04-26		
573058955		FengQiong 		证书打印  		2013-04-24		
573058955		FengQiong 		换证      		2013-04-24		
201523916		FengQiong 		证书打印  		2013-04-24		
201523916		FengQiong 		换证      		2013-04-24		
428585249		FengQiong 		年检      		2013-04-24		
57871005X		FengQiong 		年检      		2013-04-24		
L56221745		MaiLing   		新增      		2013-04-24		
201521443		FengQiong 		年检      		2013-04-24		
062333775		LiLinJiao 		证书打印  		2013-04-24		
062333775		LiLinJiao 		新增      		2013-04-24		
578742588		MaiLing   		年检      		2013-04-24		
567958551		MaiLing   		年检      		2013-04-24		
721261753		MaiLing   		年检      		2013-04-24		
681186276		MaiLing   		年检      		2013-04-24		
573099140		LiLinJiao 		年检      		2013-04-24		
681171672		LiLinJiao 		年检      		2013-04-24		
676075424		MaiLing   		年检      		2013-04-24		
589288667		FengQiong 		证书打印  		2013-04-24		
583900800		MaiLing   		年检      		2013-04-24		
L32935970		MaiLing   		年检      		2013-04-24		
062333767		TangXue   		申请表修改		2013-04-24		
589288667		FengQiong 		换证      		2013-04-24		
562445546		MaiLing   		年检      		2013-04-24		
062333767		TangXue   		新增      		2013-04-24		
062333767		TangXue   		IC卡发放  		2013-04-24		
798719339		MaiLing   		年检      		2013-04-24		
742575110		LiLinJiao 		证书打印  		2013-04-24		
742575110		LiLinJiao 		换证      		2013-04-24		
562445562		MaiLing   		年检      		2013-04-24		
428585038		FengQiong 		证书打印  		2013-04-24		
780735197		MaiLing   		年检      		2013-04-24		
713827032		MaiLing   		年检      		2013-04-24		
428585038		FengQiong 		变更      		2013-04-24		
567950648		MaiLing   		年检      		2013-04-24		
051088444		MaiLing   		年检      		2013-04-24		
676096954		MaiLing   		年检      		2013-04-24		
671084313		MaiLing   		变更      		2013-04-24		
567957268		FengQiong 		年检      		2013-04-24		
793119836		MaiLing   		换证      		2013-04-24		
L04395532		GuoMiaoL  		证书打印  		2013-04-24		
567957225		FengQiong 		年检      		2013-04-24		
062333759		XiaoYun   		新增      		2013-04-24		
062333759		XiaoYun   		IC卡发放  		2013-04-24		
062333740		TangXue   		新增      		2013-04-24		
062333740		TangXue   		IC卡发放  		2013-04-24		
062333732		MaiLing   		新增      		2013-04-24		
671080873		MaiLing   		年检      		2013-04-24		
742558644		FengQiong 		年检      		2013-04-24		
567998238		MaiLing   		年检      		2013-04-24		
552783074		XiaoYun   		年检      		2013-04-24		
774271031		MaiLing   		年检      		2013-04-24		
693161738		MaiLing   		年检      		2013-04-24		
557366640		MaiLing   		年检      		2013-04-24		
557357381		MaiLing   		年检      		2013-04-24		
062333724		XiaoYun   		新增      		2013-04-24		
062333724		XiaoYun   		IC卡发放  		2013-04-24		
573064191		MaiLing   		年检      		2013-04-24		
062333716		LuShaoYun 		新增      		2013-04-24		
062333716		LuShaoYun 		IC卡发放  		2013-04-24		
589258353		MaiLing   		年检      		2013-04-24		
735811592		WuWeiBin  		年检      		2013-04-24		
L32927647		MaiLing   		年检      		2013-04-24		
578709796		MaiLing   		年检      		2013-04-24		
062333708		LinZiXiang		新增      		2013-04-24		
693173675		FengQiong 		年检      		2013-04-24		
578709155		MaiLing   		年检      		2013-04-24		
754376514		LinYouTao 		制卡		2013-04-24
754376514		LinYouTao 		证书打印  		2013-04-24		
671054579		LinYouTao 		制卡		2013-04-24
062333695		MaiLing   		新增      		2013-04-24		
L56221737		LinZiXiang		新增      		2013-04-24		
428585193		FengQiong 		年检      		2013-04-24		
562444594		CaiFuYu   		年检      		2013-04-24		
687263092		TangXue   		年检      		2013-04-24		
786612307		XiaoYun   		年检      		2013-04-24		
062333687		ZhaoJianH 		证书打印  		2013-04-24		
056395048		MaiLing   		换证      		2013-04-24		
L19869964		XieXiuHua 		证书打印  		2013-04-24		
062333679		LiuEnTan  		证书打印  		2013-04-24		
062333652		FengQiong 		证书打印  		2013-04-24		
06231024X		MaiLing   		换证      		2013-04-24		
L19869964		XieXiuHua 		换证      		2013-04-24		
062333687		ZhaoJianH 		新增      		2013-04-24		
062310274		MaiLing   		换证      		2013-04-24		
798705586		XiaoYun   		年检      		2013-04-24		
